Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After,
Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",50.597,51.409,51.999,58.333,63.410,67.935,72.484,77.446,2019,
Seychelles,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.579,1.651,1.198,1.240,1.420,1.614,1.791,1.916,2017,
Sierra Leone,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.085,4.213,4.140,3.842,3.907,4.026,4.180,4.391,2018,
Singapore,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",373.199,372.066,337.451,362.524,379.071,396.318,413.891,432.016,2019,
Slovak Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",105.868,105.434,101.892,118.079,127.546,135.588,142.498,149.295,2019,
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.059,53.748,51.802,59.475,63.427,66.947,70.289,73.566,2019,
Solomon Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.585,1.598,1.551,1.675,1.796,1.926,2.057,2.194,2019,
Somalia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.721,4.942,4.918,5.365,5.651,5.964,6.306,6.687,2019,
South Africa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",368.135,351.354,282.588,317.191,346.556,363.047,384.853,406.785,2019,
South Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.659,4.934,4.177,4.575,4.978,5.307,5.666,5.802,2018,
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,420.379","1,394.270","1,247.464","1,450.882","1,552.025","1,638.662","1,715.140","1,771.808",2019,
Sri Lanka,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",88.385,83.996,81.120,86.686,93.223,99.922,107.221,115.251,2019,
St. Kitts and Nevis,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.011,1.066,0.871,0.952,1.036,1.106,1.158,1.213,2019,
St. Lucia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.066,2.122,1.770,1.937,2.093,2.233,2.320,2.410,2018,
St. Vincent and the Grenadines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.811,0.824,0.777,0.819,0.865,0.913,0.956,1.002,2019,
Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",35.680,33.359,32.576,32.476,31.868,32.706,33.857,35.354,2019,
Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.465,3.697,2.538,3.010,3.190,3.376,3.574,3.754,2018,
Sweden,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",555.455,530.884,529.054,611.970,647.858,682.631,719.549,756.286,2019,
Switzerland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",705.515,704.825,707.868,790.655,832.432,864.611,909.423,945.377,2019,
Syria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010,
Taiwan Province of China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",608.132,610.692,635.547,682.702,719.606,758.491,799.841,836.326,2019,
Tajikistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.520,8.117,7.898,8.220,8.698,9.157,9.645,10.184,2018,
Tanzania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.699,60.810,64.123,67.622,73.138,79.490,86.623,94.478,2018,
Thailand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",506.399,543.564,509.200,536.841,569.380,600.497,633.776,666.422,2018,
Timor-Leste,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.569,1.620,1.920,1.711,1.774,1.856,1.902,1.989,2018,
Togo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.358,5.459,5.719,6.442,6.974,7.559,8.208,8.905,2016,
Tonga,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.486,0.517,0.503,0.495,0.533,0.563,0.589,0.613,2019,
Trinidad and Tobago,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.808,24.100,22.718,23.441,24.743,25.505,26.177,26.862,2018,
Tunisia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",39.771,38.797,39.226,40.624,41.175,41.634,43.682,46.520,2019,
Turkey,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",779.599,760.940,649.436,652.408,722.384,810.077,886.225,970.506,2019,
Turkmenistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.761,45.231,47.986,53.269,58.911,65.223,72.308,80.278,2018,
Tuvalu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.046,0.047,0.045,0.048,0.050,0.053,0.056,0.059,2018,
Uganda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",33.754,36.484,37.733,41.241,45.060,48.750,53.944,60.272,2019,
Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",130.927,154.694,142.250,149.537,163.484,176.964,192.901,210.616,2019,
United Arab Emirates,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",422.215,421.142,353.899,373.145,389.735,408.089,427.335,447.333,2019,
United Kingdom,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,864.338","2,830.764","2,638.296","2,855.671","3,004.796","3,120.056","3,239.201","3,356.794",2019,
United States,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","20,611.875","21,433.225","20,807.269","21,921.585","22,967.651","23,913.115","24,833.759","25,783.444",2019,
Uruguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",59.828,56.686,54.135,57.742,60.944,64.003,66.856,70.084,2019,
Uzbekistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",50.378,57.921,59.771,63.303,69.374,76.815,84.769,93.249,2019,
Vanuatu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.928,0.933,0.864,0.912,0.968,1.023,1.079,1.136,2018,
Venezuela,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",98.400,63.960,48.610,43.749,41.561,n/a,n/a,n/a,2018,
Vietnam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",304.016,329.537,340.602,369.494,404.905,443.361,485.955,530.278,2019,
West Bank and Gaza,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.300,17.051,14.750,15.965,17.009,17.702,18.417,19.161,2019,
Yemen,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.486,22.568,20.948,19.056,17.819,17.449,17.928,19.076,2019,
Zambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.005,24.156,18.909,19.564,20.476,21.529,22.576,23.360,2018,
Zimbabwe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.837,18.699,14.002,7.997,8.424,8.751,9.231,9.747,2019,
,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2020",,,,,,,,,,,,,,
