Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After,
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.036,10.934,10.510,12.013,13.048,14.009,14.969,15.970,2017,
Chile,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",298.204,282.254,245.414,280.167,304.469,326.665,347.317,367.603,2019,
China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","13,841.901","14,401.726","14,860.775","16,492.813","17,933.629","19,512.741","21,217.565","23,029.813",2019,
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",333.495,323.561,264.933,280.401,296.234,313.858,332.528,352.311,2019,
Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.179,1.190,1.200,1.318,1.405,1.495,1.586,1.684,2018,
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.099,49.816,46.062,49.624,52.407,55.394,58.748,62.288,2019,
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.402,12.542,9.964,10.899,11.530,12.240,12.811,13.476,2018,
Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.890,62.142,59.645,61.186,65.033,68.828,72.777,77.045,2019,
Côte d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",57.725,58.581,61.502,71.104,77.529,83.913,90.973,98.627,2017,
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.991,60.422,56.768,65.839,70.868,75.551,80.232,84.860,2019,
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.974,24.568,23.246,26.599,28.228,29.822,31.214,32.660,2019,
Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",248.909,250.681,241.975,278.889,298.896,317.547,333.912,348.391,2019,
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",355.675,347.031,339.626,370.592,388.348,405.758,423.442,441.859,2019,
Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.013,3.346,3.408,3.732,4.058,4.409,4.767,5.154,2018,
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.533,0.588,0.545,0.574,0.604,0.635,0.659,0.682,2018,
Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",85.630,89.032,77.883,81.782,90.275,96.579,103.698,111.403,2018,
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",107.562,107.436,93.078,99.247,102.803,106.026,109.550,113.470,2019,
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",250.253,302.335,361.875,374.892,394.118,419.858,447.033,479.603,2019,
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.117,27.023,24.784,26.224,27.481,28.613,29.653,30.654,2019,
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.619,11.819,10.028,11.619,11.627,11.932,12.207,12.387,2017,
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.006,1.982,2.075,2.277,2.400,2.536,2.681,2.837,2018,
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",30.645,31.475,30.468,34.973,37.448,39.592,41.718,43.849,2019,
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.711,4.587,3.848,4.211,4.722,4.869,5.071,5.298,2018,
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",80.207,92.796,95.588,91.514,94.015,100.286,111.800,123.842,2019,
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.537,5.407,3.932,4.363,4.852,5.222,5.567,5.831,2018,
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",276.069,269.327,267.856,303.278,317.683,330.405,341.419,352.303,2019,
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,789.128","2,715.818","2,551.451","2,917.668","3,060.618","3,183.642","3,299.486","3,411.710",2019,
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.875,16.875,15.145,16.618,17.887,19.174,20.703,22.245,2019,
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.662,1.818,1.806,2.015,2.161,2.394,2.637,2.860,2018,
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",17.599,17.743,16.316,17.474,19.085,20.792,22.586,24.476,2019,
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,965.565","3,861.550","3,780.553","4,318.485","4,556.812","4,726.374","4,877.584","5,040.941",2019,
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.518,66.998,67.337,71.946,76.793,83.534,88.512,94.142,2018,
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",218.238,209.875,194.376,219.012,235.678,249.680,260.628,268.320,2019,
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.169,1.218,1.074,1.121,1.201,1.288,1.359,1.425,2019,
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",73.121,76.694,76.191,80.402,84.463,88.845,94.852,101.336,2019,
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.181,13.797,14.238,15.273,16.589,17.794,19.019,20.333,2018,
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.506,1.440,1.392,1.565,1.685,1.826,1.973,2.132,2018,
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.788,5.174,6.806,7.824,10.504,13.213,13.720,14.081,2019,
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.658,8.705,8.347,8.050,8.323,8.606,8.909,9.243,2018,
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.803,24.921,23.984,26.230,27.693,29.435,31.412,33.621,2019,
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",361.697,365.711,341.319,364.682,388.656,408.912,430.026,452.867,2019,
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",157.883,160.957,149.939,171.751,184.887,197.662,209.433,220.412,2019,
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.739,24.224,20.805,21.580,22.183,22.722,23.512,24.712,2018,
India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,713.165","2,868.930","2,592.583","2,833.874","3,094.177","3,368.899","3,657.454","3,958.812",2020,
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,042.680","1,120.141","1,088.768","1,167.180","1,252.595","1,341.111","1,433.992","1,533.410",2019,
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",435.590,583.698,610.662,651.707,685.289,712.005,736.848,764.587,2020,
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",225.665,230.143,178.112,196.269,208.226,222.028,232.121,242.557,2019,
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",386.632,398.469,399.064,457.515,492.046,525.227,557.627,590.898,2019,
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",370.456,394.652,383.425,408.513,429.507,451.942,475.026,498.403,2019,
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,086.710","2,001.466","1,848.222","2,111.649","2,207.851","2,280.095","2,333.364","2,387.825",2019,
Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.631,15.884,14.228,15.372,16.299,17.141,17.944,18.728,2019,
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","4,952.327","5,079.916","4,910.580","5,103.175","5,337.329","5,626.634","5,848.652","6,014.277",2019,
Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.993,44.566,42.609,44.863,47.095,49.724,52.637,55.733,2019,
Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",179.340,181.667,165.730,180.716,199.545,222.886,242.129,263.274,2019,
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",87.801,95.410,101.048,105.681,113.783,122.204,131.228,141.036,2019,
